Message_ID,Date_Time,Channel,Sender_Role,Recipient_Type,External,Attachment_Flag,Subject_or_Title,Body_Text
MSG-0186,2026-02-16 04:31,Marketing Draft,Sales,Prospect,Y,Y,Workflow reminder,Appreciate your help. We’ll share the final version of the quarterly report once copyediting is complete.
MSG-0187,2026-02-13 21:44,Chat,Analyst,Internal,N,N,Service update,A possible finder’s fee was mentioned. Regarding the meeting agenda. Flag this if you think we need disclosures.
MSG-0188,2026-01-10 17:21,Social,PM,Client,Y,N,Reporting question,Circling back. We will circulate the marketing one-pager after final approval.
MSG-0189,2026-01-27 09:03,Chat,Analyst,Internal,N,N,Document request,Appreciate your help. Please upload the meeting agenda to the approved folder and confirm receipt.
MSG-0190,2026-02-18 04:51,Chat,Ops,Internal,N,N,Client update,Following up on our last note. Let’s schedule a call to walk through the meeting agenda and align on stakeholder sign-off.
MSG-0191,2026-01-28 06:34,Chat,PM,Internal,N,Y,Scheduling,Appreciate your help. We’ll share the final version of the performance summary once compliance review is complete.
MSG-0192,2026-01-09 23:46,Marketing Draft,IR,Vendor,Y,Y,Reporting question,Appreciate your help. Let’s schedule a call to walk through the marketing one-pager and align on compliance review.
MSG-0193,2026-01-30 00:40,Social,Analyst,Prospect,Y,Y,Service update,Quick follow-up. Please approve the edits on the policy update by tomorrow morning.
MSG-0194,2026-02-15 05:50,Marketing Draft,Ops,Client,Y,Y,Workflow reminder,Following up on our last note. Please verify the figures on the due diligence packet before tomorrow’s call.
MSG-0195,2026-01-29 06:53,Marketing Draft,Sales,Client,Y,Y,Data follow-up,Attached is a passport scan—please use the secure upload next time. Before we share via the secure portal. Please confirm if this language is acceptable for external use.
MSG-0196,2026-02-04 13:41,Chat,Compliance,Internal,N,N,Portal access,Send this to my Gmail account for review. Regarding the meeting agenda. Let’s discuss on the call.
MSG-0197,2026-01-27 11:54,Marketing Draft,Ops,Client,Y,Y,Follow-up materials,Someone shared inside information about the deal. Regarding the workflow checklist. Please advise on next steps.
MSG-0198,2026-01-07 10:30,Chat,IR,Internal,N,N,Follow-up materials,Circling back. We will circulate the due diligence packet after stakeholder sign-off.
MSG-0199,2026-02-22 03:02,Email,PM,Client,Y,N,Client update,Following up on our last note. Please review disclosures on the quarterly report before close of business.
MSG-0200,2026-02-18 13:44,Marketing Draft,Sales,Vendor,Y,Y,Service update,Quick follow-up. We will circulate the meeting agenda after copyediting.
